stock1,stock2,p_value,ADF_stat
300523,002649,0.0005871287939825148,-4.229487841470571
688365,002131,0.0006040796778577839,-4.222229137114222
002771,300518,0.0006282302569255244,-4.212211789815237
600571,300017,0.0006477649512684631,-4.20437067221424
300523,002195,0.0006571470617872487,-4.200683493591714
300523,300150,0.0006680639833887981,-4.196454937014504
300523,300541,0.0006970886597834359,-4.185520744310513
002777,300592,0.000709401209586563,-4.181011100052049
300295,300245,0.0007196402937098889,-4.177316550299219
600756,300248,0.0007248879795825313,-4.175442135507617
000676,002232,0.0007349270846160593,-4.171891523463412
300523,300288,0.0007493910458890604,-4.166855210612219
300250,300288,0.0007546674239033897,-4.165040685968114
300523,002264,0.0007573798220428813,-4.164112533735448
300523,300017,0.0007576408522461133,-4.164023376804037
300523,000676,0.0007649809013093199,-4.161528058413219
688365,300287,0.000770299002039199,-4.159734122597353
300523,002331,0.0007803854871592383,-4.156363388429408
300523,002657,0.0007841799277683595,-4.155105925200048
688004,300168,0.0007862959526534032,-4.154407160377733
300523,300250,0.000791812060754611,-4.15259386450752
300523,002591,0.0007955911130383938,-4.151358415833806
300523,002401,0.000801618682598401,-4.1493992302293385
688365,600571,0.0008020398147220849,-4.149262863616751
002331,300271,0.000803624435832212,-4.148750349359299
300523,603918,0.000803647005541587,-4.148743056484987
300523,002131,0.0008197759865110662,-4.143579854903753
688365,002591,0.0008304810100552199,-4.1402053183346785
300150,300248,0.0008555424049656844,-4.1324620708055315
300523,300264,0.0009060371496631954,-4.11748602321801
300383,002331,0.000932260414168147,-4.11001446691289
600410,002649,0.0009484733936107848,-4.105492910442376
688365,002232,0.0009833731754887776,-4.096000452073959
300078,000555,0.0010648714007373446,-4.075006482903841
300523,600131,0.0010817181359335927,-4.070854873156926
600571,002291,0.0010947432615445167,-4.067686259848308
002777,002609,0.0011342254341889055,-4.058292263732768
300168,300271,0.001228461489951124,-4.0370498843467315
002591,300264,0.0012441528096680293,-4.033661378885927
002373,300271,0.001250846432296507,-4.032228023421897
300541,000555,0.0013079683727085225,-4.020279084443629
300523,300170,0.0013410895477314081,-4.013571708919888
300166,002131,0.0014428574854252372,-3.993887685454078
002264,002331,0.0014544111960507634,-3.9917353252733747
300523,688365,0.0014707141279798688,-3.988725144144099
300440,300383,0.0015404916479461797,-3.976182576595878
300523,002373,0.0015465801034903871,-3.975113385312606
002591,300271,0.001565777868453614,-3.9717675202682066
002591,600131,0.0015919130903199036,-3.967273364521429
600410,603918,0.0016268034303231664,-3.961379432036695
688365,300464,0.0016562082860858264,-3.956502677264184
300166,002609,0.0016746349403168217,-3.953487484130553
002095,603918,0.0017080290036909607,-3.94810083870971
002591,002232,0.0017171497312859336,-3.9466466227588914
002264,600131,0.0017273978808743568,-3.9450211827107946
002591,300464,0.0017397666896603141,-3.9430712719287437
600410,300448,0.0017442868391232284,-3.94236189208648
688365,300168,0.001745939150043695,-3.9421030088453337
